Date,Time,Product Category,Channel,Ad Spend,Conversions,Revenue,Customer Segment
2024-11-16,Evening,Life,In-store,10.29,7,302.21,Returning
2025-02-09,Afternoon,Wrong,Email,70.65,3,340.23,Loyal
2025-04-14,Morning,Where,Social Media,14.26,6,189.19,New
2024-12-13,Morning,Which,Email,45.03,2,350.55,Returning
2025-01-01,Evening,Hospital,Social Media,46.42,4,45.22,Returning
2024-11-27,Afternoon,Peace,Email,32.79,4,78.05,New
2025-04-07,Evening,House,Email,43.47,6,193.08,Loyal
2025-02-07,Morning,Have,Influencer,61.44,7,365.92,Loyal
2025-02-10,Night,Security,Social Media,90.04,3,215.79,Loyal
2024-11-06,Afternoon,Adult,In-store,57.58,6,188.87,Returning
2025-02-12,Night,Power,Influencer,117.84,8,50.92,Loyal
2025-02-12,Evening,Wide,In-store,37.36,0,377.21,Returning
2025-03-20,Evening,Very,In-store,101.98,1,81.74,New
2025-02-08,Night,Scientist,Influencer,93.87,4,175.01,Returning
2025-03-22,Afternoon,Attack,Social Media,51.65,9,367.97,New
2025-04-15,Afternoon,Population,In-store,30.6,2,71.09,Returning
2024-11-10,Night,Court,Email,92.83,10,216.15,New
2024-11-15,Night,Step,Influencer,30.28,6,250.84,New
2025-04-21,Afternoon,Energy,In-store,47.02,9,416.06,New
2024-11-01,Morning,Act,Email,80.72,5,138.89,New
2025-04-24,Afternoon,Since,Influencer,145.68,6,400.22,New
2024-12-30,Evening,Necessary,Influencer,81.22,9,210.51,Returning
2024-12-31,Morning,Visit,Influencer,35.71,7,153.96,New
2025-02-26,Afternoon,Exist,Influencer,83.36,2,258.13,Returning
2025-02-12,Evening,Day,Influencer,51.2,2,129.58,Loyal
2024-12-27,Afternoon,Majority,Email,15.97,0,32.2,Loyal
2025-04-04,Afternoon,Writer,In-store,135.54,3,311.41,New
2025-01-25,Night,Push,Email,142.2,3,421.4,Loyal
2025-01-05,Morning,Card,Email,32.27,0,193.17,Returning
2024-11-07,Evening,Soldier,In-store,117.99,1,262.83,Loyal
2025-03-07,Evening,Suffer,Social Media,15.76,4,365.71,Returning
2025-02-08,Morning,Movie,In-store,9.64,1,100.59,New
2025-02-27,Night,Claim,Social Media,105.19,7,308.79,Loyal
2025-02-14,Afternoon,Mrs,Email,62.31,5,368.25,Loyal
2024-12-01,Night,Knowledge,Influencer,19.71,1,145.78,Returning
2024-12-13,Afternoon,Right,Social Media,83.29,3,141.07,Returning
2025-01-10,Morning,Firm,Social Media,16.76,0,482.13,New
2025-02-04,Night,Night,In-store,69.65,9,146.62,Loyal
2024-11-12,Afternoon,Audience,Email,99.74,0,428.41,Loyal
2024-11-17,Afternoon,Rise,In-store,40,4,304.21,Loyal
2025-04-20,Evening,Black,Email,48.57,10,333.9,Returning
2024-11-28,Evening,Sense,Social Media,93.68,3,59.4,Returning
2025-04-16,Morning,Treat,In-store,39.67,10,33.03,New
2024-11-24,Evening,Growth,Influencer,20.57,0,458.84,Returning
2024-12-03,Evening,According,Social Media,89.39,9,143.52,New
2024-12-19,Night,Keep,In-store,58.92,5,446.44,Loyal
2024-11-02,Night,Type,Influencer,112.65,5,445.11,New
2024-12-30,Evening,Land,In-store,57.93,5,276.23,Returning
2024-12-20,Afternoon,Wait,Email,81.57,10,456.96,Returning
2024-12-30,Night,Make,Influencer,95.7,4,487.89,New
2024-11-28,Evening,Suffer,Influencer,50.16,6,313.27,Returning
2024-11-07,Evening,Try,Social Media,134.18,7,487.27,Returning
2025-04-24,Afternoon,Worker,In-store,137.33,7,274.16,New
2025-03-16,Evening,Better,Social Media,110.28,2,275.96,Returning
2025-04-08,Afternoon,Trip,Influencer,57.81,7,74.01,New
2025-01-11,Evening,Century,Influencer,119.54,8,119.69,New
2025-04-25,Evening,Statement,Social Media,6.82,8,106.53,New
2024-12-05,Morning,Radio,Influencer,58.37,6,260.77,Loyal
2025-02-16,Morning,West,Social Media,27.23,7,64.55,New
2024-11-06,Morning,Free,Social Media,47.51,4,22.82,Returning
2025-04-03,Morning,Physical,Influencer,34.36,0,399.26,Returning
2025-03-03,Afternoon,Large,Social Media,7.85,1,329.25,Loyal
2025-03-04,Morning,Shake,Social Media,55.17,5,315.77,New
2025-01-24,Afternoon,Assume,Social Media,5.01,3,55.05,Loyal
2025-02-10,Night,Anyone,Influencer,52.98,10,417.73,New
2025-03-14,Night,Staff,Social Media,68.58,6,342.09,Loyal
2025-01-25,Evening,Win,Influencer,114.94,6,79.19,Returning
2025-03-03,Morning,Have,Email,90.37,3,265.86,New
2025-04-18,Afternoon,Foreign,Email,115.82,8,198.86,Returning
2025-01-14,Night,Fast,In-store,35.03,9,456.05,New
2025-03-24,Morning,Executive,Email,78.86,4,272.75,Returning
2024-11-17,Evening,Power,In-store,49.45,5,238.13,Loyal
2025-02-14,Morning,Method,Email,122.41,10,437.06,Loyal
2025-03-15,Evening,Pull,Influencer,140.75,6,401.66,Returning
2025-03-20,Morning,Value,Email,116.02,7,467,Loyal
2024-12-05,Afternoon,Realize,Email,86.95,6,490.84,Loyal
2024-12-22,Morning,Town,Social Media,7.07,7,70.9,Loyal
2025-03-05,Evening,Lawyer,Email,127.52,5,179.28,Loyal
2025-03-21,Morning,Left,In-store,15.98,3,371.09,Loyal
2024-11-22,Night,Second,In-store,92.17,9,418.49,Loyal
2024-11-15,Afternoon,Would,Social Media,18.31,4,273.27,Loyal
2025-03-29,Morning,Carry,In-store,16.29,2,469.67,New
2024-11-17,Evening,Fast,Social Media,30.19,8,485.39,Returning
2025-04-13,Night,Practice,In-store,94.85,9,238.3,Returning
2025-03-26,Night,Purpose,Social Media,65.15,2,334.85,Loyal
2024-12-12,Evening,Necessary,Influencer,95.39,2,405.43,New
2025-02-28,Night,Executive,Email,145.41,7,331.45,Returning
2024-12-27,Night,Story,Email,6.73,5,201.33,Loyal
2025-02-01,Night,Street,Email,22.69,1,394.88,New
2025-04-14,Evening,Rich,In-store,98.92,3,102.26,Returning
2025-04-03,Morning,Office,Email,142.4,8,28.99,Returning
2025-01-02,Afternoon,Federal,Influencer,53.1,10,65,New
2025-03-01,Afternoon,Century,Email,79.83,5,104.8,New
2025-02-20,Morning,Stop,Email,29.48,7,348.91,New
2025-02-21,Morning,Central,Social Media,111.38,7,226.58,New
2024-12-12,Evening,Drive,In-store,137.43,10,322.26,New
2025-01-05,Morning,Management,Email,92.91,3,246.23,Returning
2025-04-19,Evening,Card,Email,95.7,6,187.11,Returning
2024-12-23,Morning,Doctor,In-store,109.7,2,441.53,Returning
2025-02-18,Evening,Mission,Email,118.87,9,377.03,Loyal
2025-04-30,Evening,Kid,Influencer,117.26,2,255.76,Loyal
2024-12-18,Morning,By,Social Media,99.75,9,36.06,Returning
2025-03-01,Morning,Best,Influencer,58.4,10,278.81,New
2024-12-26,Afternoon,Experience,Influencer,29.65,10,129.68,New
2024-12-01,Afternoon,Probably,Influencer,127.34,0,279.55,New
2025-03-18,Night,Eat,Email,127.11,8,241.32,Loyal
2025-03-28,Night,Interest,Email,18.79,5,104.69,Loyal
2025-03-06,Afternoon,Area,Email,76.95,7,42.58,New
2025-02-20,Afternoon,Later,Social Media,26.69,2,79.16,New
2025-01-12,Morning,Hand,Social Media,29.06,3,73.87,Loyal
2024-12-12,Evening,Religious,Social Media,97.85,10,54.34,Returning
2025-04-03,Afternoon,Off,Social Media,81.62,3,192.09,New
2025-01-04,Evening,Professor,Social Media,10.01,10,25.42,Loyal
2024-12-13,Evening,National,Email,123.71,3,67.68,New
2025-01-27,Morning,Drop,Social Media,96.29,8,186.49,Returning
2025-03-07,Evening,Kitchen,Email,140.02,2,88.19,Returning
2025-02-01,Afternoon,Make,Email,96.33,3,277.19,Returning
2025-01-28,Afternoon,North,Influencer,121.06,10,461.58,Returning
2024-11-21,Morning,Rise,Email,16.15,8,203,Returning
2025-02-15,Afternoon,Say,Email,130.37,4,470.77,Returning
2025-03-13,Afternoon,Impact,Social Media,8.84,10,49.9,Returning
2025-04-10,Evening,Final,Influencer,75.29,4,288.31,Returning
2024-11-10,Afternoon,Billion,Email,56.89,2,22.51,Loyal
2025-01-03,Afternoon,Sure,Influencer,100.4,6,74.59,Loyal
2025-04-02,Evening,Bank,Social Media,81.31,9,74.96,New
2024-11-03,Afternoon,Republican,In-store,6.08,7,141.14,Returning
2025-03-24,Morning,Pay,Social Media,80.67,2,258.1,New
2025-03-31,Night,Drug,Social Media,130.63,2,497.03,Loyal
2024-12-25,Night,Strong,Social Media,111.22,7,61.08,Returning
2025-02-26,Afternoon,Director,Social Media,35.76,1,479.78,Returning
2025-04-26,Evening,Husband,Social Media,36.6,10,421.67,Loyal
2024-11-15,Night,Present,In-store,138.47,5,170.78,Loyal
2024-11-12,Afternoon,Debate,Email,95.25,6,294.27,New
2025-04-04,Evening,Really,In-store,87.13,9,278.45,New
2025-03-22,Morning,Cell,Email,64.87,3,187.33,Loyal
2024-11-16,Night,Radio,Influencer,50.52,9,286.22,New
2025-04-20,Night,Institution,In-store,53.65,10,335.47,Returning
2025-02-19,Night,Drive,Email,140.3,2,464.75,Returning
2025-04-30,Night,Wrong,Influencer,141.35,6,438.4,New
2025-03-07,Morning,Career,Social Media,19.16,7,217.88,New
2025-02-28,Afternoon,Out,In-store,125.03,4,102.45,New
2025-04-09,Night,Writer,Social Media,94.31,5,405.03,Loyal
2024-12-16,Afternoon,Official,Email,34.13,9,441.52,Loyal
2024-11-20,Morning,According,In-store,93.91,3,36.53,Returning
2025-04-20,Morning,Situation,Social Media,66.07,10,402,Loyal
2024-12-20,Afternoon,Situation,Social Media,76.03,5,367.7,New
2024-11-21,Afternoon,With,Email,112.42,2,328.44,Loyal
2024-12-01,Afternoon,Event,Influencer,40.93,4,399.58,New
2025-03-21,Afternoon,Road,Email,74.23,5,483.52,Returning
2025-01-30,Afternoon,Production,Influencer,108.68,4,31.23,New
2025-02-06,Night,Public,Influencer,119.35,2,207.66,Returning
2025-03-13,Evening,Word,Social Media,39.54,4,467.94,Loyal
2025-01-14,Morning,Half,Email,119.74,2,183.78,Loyal
2025-01-17,Evening,Traditional,Email,81.68,3,400.37,Loyal
2025-03-15,Night,Collection,Email,37.87,1,497.92,New
2025-02-25,Afternoon,Foreign,Email,79.1,6,58,Loyal
2025-03-09,Night,Myself,Email,75.4,7,324.88,Loyal
2025-03-11,Afternoon,Government,Influencer,96.56,0,258.42,New
2024-11-10,Evening,Heavy,Social Media,38.32,4,468.06,Loyal
2024-12-05,Evening,Herself,In-store,115.09,3,123.31,Loyal
2025-04-30,Evening,Spend,Influencer,91.26,4,326.9,New
2024-12-07,Night,Stand,In-store,93.11,1,44.45,Returning
2025-04-19,Night,Really,Influencer,79.24,4,238.77,Loyal
2025-01-14,Evening,Speak,In-store,134.93,8,439.54,Returning
2025-04-07,Night,Beat,Social Media,89.18,6,252.92,Returning
2024-11-15,Night,Church,Email,64.58,0,286.31,Returning
2024-11-26,Afternoon,Hit,Influencer,29.83,5,58.61,Loyal
2025-03-09,Afternoon,Seat,Social Media,143.93,4,402.38,Loyal
2024-12-11,Night,Among,In-store,49.66,2,302.62,Loyal
2025-02-02,Night,Plan,Influencer,132.58,6,90.64,Returning
2024-11-21,Afternoon,Station,Email,145.05,0,57.39,Loyal
2025-01-28,Morning,City,Email,74.51,6,148.33,New
2024-12-02,Afternoon,North,Influencer,78.05,7,210.07,Loyal
2025-03-31,Morning,Medical,Influencer,107.1,4,399,Loyal
2024-11-19,Night,Professor,Email,104.67,9,170.05,Loyal
2025-04-14,Evening,Son,Email,98.06,9,485.33,Loyal
2025-03-13,Morning,Back,Email,99.74,6,199.83,Returning
2024-11-25,Afternoon,Alone,Email,86.49,5,73.98,New
2024-12-13,Night,Risk,Social Media,62.93,7,411.68,New
2025-01-19,Night,Painting,Social Media,7.71,8,79.18,Returning
2025-03-05,Night,Treat,Email,70.46,3,474.75,New
2025-03-03,Afternoon,Parent,Social Media,102.99,10,46.78,Loyal
2024-12-28,Evening,Travel,Social Media,139.09,1,138.59,Loyal
2024-11-24,Morning,Building,Influencer,127.05,7,423.19,Loyal
2025-04-20,Afternoon,Away,Email,136.96,0,340.15,Returning
2025-04-08,Night,Inside,Social Media,103.23,8,308.18,New
2025-04-11,Evening,Well,In-store,103.14,7,296.35,Returning
2025-04-17,Afternoon,Television,Influencer,25.64,9,464.69,New
2024-11-18,Night,Without,Email,130.83,0,475.53,Returning
2024-11-17,Afternoon,Thing,Influencer,126.92,0,270.68,Loyal
2025-02-16,Evening,In,In-store,62.78,8,135.84,New
2025-01-04,Afternoon,Health,In-store,13.34,0,93.84,Returning
2025-03-08,Night,Kid,Email,25.97,8,221.39,Returning
2025-03-31,Night,Take,Email,109.91,8,76.33,New
2025-01-03,Night,Table,In-store,102.89,2,126.62,Loyal
2025-03-01,Morning,Most,Social Media,130.77,6,383.88,Loyal
2025-01-02,Night,Treat,In-store,56.16,9,326.51,New
2025-04-22,Evening,Manage,Email,94.09,6,276.05,New
2025-01-17,Morning,Tell,In-store,53.03,10,395.71,Loyal
2025-01-28,Morning,Street,Email,76.15,3,392.08,Returning
2024-12-12,Afternoon,Top,Influencer,88.88,4,177.58,New
2025-04-03,Afternoon,Picture,In-store,143.31,1,424.09,Loyal
2025-04-03,Night,Occur,Influencer,126.38,4,266.41,Returning
2025-04-03,Evening,Paper,Influencer,144.52,6,23.62,New
2024-12-19,Morning,Interest,Social Media,117.86,2,494.59,Returning
2025-03-25,Afternoon,Above,Influencer,25.46,8,337.09,New
2025-04-16,Morning,Success,In-store,141.28,2,342.2,New
2024-12-29,Morning,Great,Influencer,21.39,10,215.01,Returning
2024-11-14,Afternoon,Fight,Social Media,96.05,6,59.06,Returning
2025-03-17,Morning,Mrs,Influencer,76.02,0,285.44,New
2024-11-04,Night,List,Email,62.42,5,133.82,New
2025-01-09,Morning,Day,Influencer,100.39,9,378.34,New
2025-04-24,Night,Major,Social Media,27.87,7,150.69,Loyal
2025-04-11,Afternoon,Personal,Social Media,82.03,2,61.56,New
2025-04-05,Afternoon,Way,Influencer,14.29,1,474.56,New
2025-02-16,Morning,My,Social Media,146.23,9,139.18,New
2025-01-27,Afternoon,News,Email,112.82,3,114.07,Returning
2024-12-02,Night,Administration,Email,138.88,10,212.61,Loyal
2025-01-01,Night,Very,Influencer,27.62,5,87.95,Returning
2024-11-04,Afternoon,Price,In-store,124.11,5,177.74,Loyal
2025-04-27,Morning,Know,In-store,60.23,10,36.32,Loyal
2025-04-07,Morning,Such,Email,39.06,7,162.45,Returning
2025-04-01,Morning,Real,Email,61.63,10,152.04,New
2025-03-25,Evening,Suffer,Social Media,122.6,9,297.94,Loyal
2025-04-13,Afternoon,Hotel,Email,42.36,6,412.58,Returning
2025-04-14,Night,Power,Influencer,7.65,4,359.39,Loyal
2025-02-20,Night,Carry,In-store,29.66,4,367.71,Returning
2025-02-04,Afternoon,Memory,Influencer,84.59,4,192.48,New
2024-11-06,Night,Concern,Influencer,73.95,6,373.45,New
2025-01-23,Evening,We,Email,107.86,2,51.41,New
2024-11-16,Night,Situation,Email,48.09,0,250.27,Returning
2025-01-09,Evening,Detail,Influencer,101.06,9,91.61,New
2025-01-21,Afternoon,Commercial,Influencer,79.55,1,274.99,New
2024-11-26,Night,Rise,Email,68.85,5,412.73,New
2025-03-11,Evening,Than,In-store,109.42,2,187.18,Loyal
2025-02-28,Evening,Under,Email,17.21,8,222.11,Loyal
2025-03-23,Night,Involve,Email,110.57,9,321.47,New
2024-12-20,Morning,Suffer,In-store,88.53,4,453.92,New
2025-02-01,Morning,Important,In-store,125.65,10,419.47,Loyal
2024-11-29,Evening,Ahead,Social Media,32.48,1,321.82,Returning
2025-02-08,Night,Difference,In-store,47.12,6,224.97,Loyal
2025-02-15,Afternoon,Argue,Influencer,35.1,6,378.25,Loyal
2025-04-13,Afternoon,Small,Influencer,88.87,6,327.71,New
2025-04-25,Afternoon,Recent,Influencer,140.45,0,23.96,Returning
2025-02-15,Night,Keep,Email,72.05,0,435.82,Loyal
2025-01-03,Morning,Treatment,Email,112.14,0,198.25,Loyal
2025-02-08,Morning,Southern,Email,121.41,8,280.35,Returning
2025-01-31,Morning,Matter,In-store,86.03,10,296.98,Loyal
2025-03-18,Evening,Forget,Influencer,65.1,2,113.27,Returning
2025-03-19,Night,Each,In-store,79.88,2,120.67,Returning
2024-11-10,Afternoon,Size,In-store,22.08,4,400.02,New
2025-03-07,Afternoon,Own,Social Media,83.3,4,118.43,New
2025-02-11,Evening,Life,In-store,77.03,0,51.21,Returning
2025-01-26,Afternoon,Dark,Influencer,146.76,0,40.58,New
2025-04-26,Night,Anything,Influencer,6.36,2,111.77,Returning
2024-12-28,Evening,Leader,In-store,101.69,5,318.25,Returning
2025-01-21,Afternoon,Cut,Email,41.66,2,439,Returning
2025-04-07,Afternoon,Race,Influencer,134.16,5,457.11,New
2025-01-31,Night,Nearly,Email,68.96,5,403.02,Loyal
2025-03-05,Morning,Amount,Influencer,135.88,10,431.87,Loyal
2024-12-18,Night,Million,Influencer,19.73,5,66.64,New
2025-02-19,Evening,Central,Social Media,103.52,3,176.16,New
2024-11-12,Morning,Wear,Influencer,60.66,5,358.23,Returning
2025-01-02,Night,Him,Email,30.13,0,441.34,Loyal
2025-01-20,Morning,Late,Email,73.08,3,41.91,New
2025-01-24,Afternoon,Have,In-store,21.9,9,218.82,New
2025-01-07,Morning,Then,Influencer,104.31,0,176.72,New
2025-04-11,Afternoon,Administration,Social Media,96.4,4,307.27,Loyal
2025-01-16,Afternoon,Attack,In-store,97.29,8,455.36,Returning
2024-11-27,Afternoon,Someone,Influencer,44.74,3,168.31,Returning
2025-01-14,Evening,Part,Email,12.86,6,429.65,Loyal
2024-11-22,Afternoon,Necessary,Email,95.78,9,73.13,New
2024-12-18,Afternoon,Religious,In-store,54.96,8,191.02,Returning
2025-02-19,Morning,Firm,Email,37.51,8,303.85,Loyal
2024-11-15,Morning,Evidence,Social Media,122.18,6,109.82,Returning
2025-04-14,Morning,Final,Influencer,97.35,7,193.91,Loyal
2025-03-29,Afternoon,Stuff,In-store,14.5,7,367.11,Returning
2025-01-31,Morning,At,Email,147.9,2,251.63,Loyal
2025-04-24,Afternoon,Million,In-store,115.99,10,482.4,New
2025-03-16,Evening,Raise,Social Media,110.93,2,349.7,New
2024-10-30,Evening,Forget,Influencer,74.13,9,328.44,Returning
2025-04-03,Evening,Career,Social Media,36.34,3,446.31,Returning
2024-11-25,Morning,Effect,Social Media,138.09,10,128.69,Loyal
2025-03-10,Morning,No,Influencer,138.02,5,33.45,Loyal
2025-04-09,Night,Country,Email,39.81,4,286.28,Returning
2024-12-18,Night,Agreement,In-store,19.35,7,325.21,Loyal
2025-01-16,Night,Sense,Social Media,28.31,0,135.57,Loyal
2025-04-16,Morning,Do,Email,34.44,0,351.85,New
2025-01-17,Evening,Stop,Influencer,46.08,2,111.23,Loyal
2025-03-14,Night,Other,In-store,125.41,9,413.08,Loyal
2025-01-09,Morning,Yourself,Email,80.2,10,399.16,Returning
2025-01-19,Morning,Instead,Influencer,37.68,3,439.64,Loyal
2025-03-10,Evening,Tv,Email,94.04,0,187.27,New
2025-04-03,Afternoon,Decide,Influencer,41.83,1,269.08,Returning
2025-04-10,Evening,Worry,Social Media,58.97,8,338.91,New
2024-12-26,Night,Old,Email,23.98,2,332.19,Loyal
2025-03-26,Morning,Present,Email,54.24,3,160.91,New
2025-01-27,Afternoon,Check,Social Media,111.34,9,327.5,Loyal
2024-12-24,Afternoon,Or,In-store,104.38,8,350.58,Loyal
2024-11-11,Evening,Rate,Social Media,6.26,3,38,Loyal
2025-02-14,Afternoon,Police,Influencer,17.14,3,482.14,New
2025-03-03,Night,During,Social Media,104.12,10,174.91,Loyal
2025-03-28,Morning,Back,Email,14.49,7,195.22,Loyal
2024-11-15,Afternoon,Imagine,Email,99.15,1,255.16,Returning
2025-01-04,Afternoon,You,Influencer,126.48,0,302.58,Returning
2025-04-26,Morning,Cause,Email,32.71,2,368.27,New
2025-02-09,Night,Space,Social Media,71.08,2,163.37,Returning
2025-02-05,Evening,Reflect,Social Media,123.24,1,180.23,Returning
2024-12-03,Afternoon,Eight,In-store,12.1,2,97.3,Loyal
2025-02-19,Evening,Family,Email,145.98,2,257.05,Returning
2024-12-28,Morning,Soon,In-store,63.05,5,100.67,Returning
2025-02-19,Morning,Than,Email,67.37,8,127.65,New
2025-02-02,Night,Thing,In-store,12.13,0,40.4,Loyal
2025-01-13,Evening,Herself,Email,29.53,5,303.45,Loyal
2025-01-12,Night,Budget,In-store,119.73,9,392.19,Loyal
2025-02-21,Night,Suggest,Influencer,24.75,9,384.43,Loyal
2025-01-03,Morning,Talk,Email,54.25,1,121.52,Returning
2025-03-03,Morning,Notice,Influencer,9.86,8,316.98,Returning
2025-02-01,Morning,Particular,Social Media,73.77,4,471.01,Returning
2024-12-09,Morning,Machine,Email,107.3,5,267.14,Loyal
2025-04-20,Evening,Mother,Email,112.15,10,456.46,New
2024-12-06,Morning,Soldier,Influencer,39.56,5,36.81,Loyal
2025-01-04,Evening,Usually,Influencer,52.51,0,330.49,New
2025-02-20,Night,Third,Email,144.92,1,400.51,Loyal
2025-01-26,Night,Write,Influencer,131.53,3,58.8,Loyal
2024-12-22,Afternoon,Business,In-store,101.26,6,452.99,Returning
2024-11-15,Evening,Public,Email,40.92,6,62.12,New
2025-04-05,Evening,Great,Influencer,52.42,9,290.08,Loyal
2025-04-11,Afternoon,Though,Social Media,69.28,5,266.81,Loyal
2025-02-03,Morning,Account,Email,129.15,3,293.16,Returning
2025-03-25,Evening,Region,Influencer,5.27,4,186.75,New
2025-03-20,Night,Fear,Social Media,6.51,9,492.77,New
2025-02-09,Evening,Open,Social Media,96.61,0,255.97,New
2025-01-07,Night,Pm,Social Media,147.54,10,190.35,Loyal
2024-12-20,Night,Professor,Email,36.67,5,248.12,Loyal
2025-02-11,Evening,Fish,In-store,106.07,3,398.5,Loyal
2025-01-09,Morning,Draw,Influencer,98.34,1,230.26,Returning
2025-04-07,Morning,Summer,Email,66.71,8,141.91,Loyal
2025-04-12,Morning,Page,Influencer,26.43,5,491.11,New
2025-03-31,Evening,Career,Social Media,94.2,0,410.58,Returning
2024-11-26,Afternoon,Window,Email,21.66,7,300.96,New
2025-01-09,Morning,Wind,Influencer,47.06,1,458.79,Returning
2025-01-23,Night,Enter,In-store,73.24,4,376.19,New
2025-03-10,Evening,Would,Influencer,99.38,1,463.26,Loyal
2025-04-19,Morning,Think,Social Media,56.55,7,249.48,New
2025-01-04,Evening,Once,Email,44.89,1,402.89,Loyal
2025-01-03,Morning,Continue,In-store,94.15,7,252.95,Returning
2025-04-10,Evening,Rich,Email,17.18,10,126.61,New
2025-02-23,Evening,Order,Email,41.77,2,306.96,Loyal
2025-03-19,Afternoon,Now,Social Media,39.07,7,120.44,New
2025-01-22,Morning,Nice,Email,63.38,2,209.49,New
2025-01-24,Afternoon,Story,Email,120.96,1,345.52,New
2025-04-09,Evening,Whose,Email,15.29,10,364.46,Loyal
2025-02-24,Morning,International,Social Media,30.37,10,418.93,New
2025-03-28,Evening,Become,Email,41.59,5,57.31,New
2024-11-25,Morning,Article,Social Media,6.27,5,41.72,Returning
2025-04-12,Night,Dog,Email,8.65,10,403.96,Loyal
2025-02-05,Evening,Late,Social Media,82.13,8,493.31,Loyal
2024-11-25,Morning,Risk,Influencer,72.53,5,424.99,Returning
2024-12-05,Morning,Card,In-store,60.98,3,69.76,New
2024-11-04,Morning,Evening,In-store,86.13,0,171.99,Loyal
2024-11-21,Night,Southern,In-store,12.77,1,107.98,Returning
2025-03-26,Morning,Give,Email,62.56,10,418.12,New
2025-03-24,Evening,Themselves,Email,40.02,4,89.97,New
2024-12-11,Night,You,Influencer,18.23,4,63.03,Loyal
2025-02-13,Evening,That,Social Media,92.72,0,163.96,Returning
2025-01-31,Afternoon,Serve,Influencer,144.92,7,119.24,Returning
2024-11-18,Evening,Away,In-store,35.82,7,356.81,Returning
2024-12-27,Evening,Idea,Influencer,59.67,6,347.57,Returning
2025-03-01,Afternoon,Song,Influencer,53.5,9,79.76,New
2024-12-29,Morning,Various,Social Media,61.03,4,24.02,Returning
2024-11-19,Afternoon,Kid,Email,11.75,0,225.93,Loyal
2024-12-24,Afternoon,Mention,Email,20.86,1,44.14,Returning
2025-01-03,Afternoon,Especially,Influencer,122.27,7,320.67,Returning
2024-12-05,Evening,Off,Social Media,46.44,0,332.24,New
2025-02-15,Evening,Beyond,Influencer,137.02,5,25.83,Returning
2025-01-10,Night,Board,Social Media,15.53,0,56.75,Loyal
2025-02-14,Night,Manage,Email,9.76,2,301.26,New
2025-04-05,Afternoon,Data,Social Media,75.47,6,140.03,Returning
2024-11-10,Evening,Way,Social Media,144.89,3,370.6,Loyal
2025-02-03,Afternoon,Statement,Social Media,12.58,3,378.42,Returning
2025-04-19,Morning,Million,Email,27.17,2,61.74,Returning
2025-04-10,Night,Would,Email,32.03,7,297,Returning
2024-11-06,Morning,Language,Social Media,38.45,1,236.43,New
2024-11-28,Night,Pull,Email,89.06,9,352.31,Returning
2024-11-11,Morning,Record,Influencer,94.4,10,205.04,Loyal
2025-02-15,Afternoon,Deep,In-store,124.98,5,56.77,Loyal
2024-11-26,Morning,Since,Email,23.39,7,388.65,New
2025-01-06,Afternoon,Born,In-store,91.14,4,168.04,New
2025-01-08,Afternoon,Stay,In-store,74.91,8,456.39,New
2024-10-31,Evening,Also,In-store,137.55,0,334.95,Returning
